identifiant,Prénom,Nom,Région,Département,Numéro de circonscription,Profession,Groupe politique (complet),Groupe politique (abrégé),réélu.e
608016,Véronique,Louwagie,Normandie,Orne,2,Expert-comptable,Les Républicains,LR,Oui
719528,Jean-François,Portarrieu,Occitanie,Haute-Garonne,5,Journaliste,La République en Marche,LaREM,Oui
719154,Didier,Martin,Bourgogne-Franche-Comté,Côte-d'Or,1,Neuroradiologue,La République en Marche,LaREM,Oui
607619,Paul,Molac,Bretagne,Morbihan,4,Professeur du secondaire,Libertés et Territoires,LT,Oui
720354,Jean-Michel,Jacques,Bretagne,Morbihan,6,Infirmier des forces spéciales,La République en Marche,LaREM,Oui
642935,Olivier,Becht,Grand Est,Haut-Rhin,5,Magistrat,Agir ensemble,Agir ens,Oui
721336,Blandine,Brocard,Auvergne-Rhône-Alpes,Rhône,5,Employée (secteur privé),Mouvement Démocrate (MoDem) et Démocrates apparentés,Dem,Oui
718838,Fabrice,Brun,Auvergne-Rhône-Alpes,Ardèche,3,Industriel-Chef d'entreprise,Les Républicains,LR,Oui
608695,Cécile,Untermaier,Bourgogne-Franche-Comté,Saône-et-Loire,4,Fonctionnaire des grands corps de l'État,Socialistes et apparentés,SOC,Oui
722308,Nathalie,Serre,Auvergne-Rhône-Alpes,Rhône,8,Mère au foyer,Les Républicains,LR,Oui
607090,Jean-Pierre,Vigier,Auvergne-Rhône-Alpes,Haute-Loire,2,Fonctionnaire de catégorie A,Les Républicains,LR,Oui
720862,Frédéric,Descrozaille,Ile-de-France,Val-de-Marne,1,Autre cadre (secteur privé),La République en Marche,LaREM,Oui
722038,Damien,Adam,Normandie,Seine-Maritime,1,Cadre supérieur (secteur privé),La République en Marche,LaREM,Oui
720644,Jérôme,Nury,Normandie,Orne,3,Cadre de la fonction publique,Les Républicains,LR,Oui
334116,Jacqueline,Maquet,Hauts-de-France,Pas-de-Calais,2,Directrice de mission,La République en Marche,LaREM,Oui
331835,Monique,Iborra,Occitanie,Haute-Garonne,6,Retraitée de la Fonction publique,La République en Marche,LaREM,Oui
719286,Paul-André,Colombani,Corse,Corse-du-Sud,2,Médecin,Libertés et Territoires,LT,Oui
721678,Robin,Reda,Ile-de-France,Essonne,7,Autres,Les Républicains,LR,Oui
605963,Éric,Alauzet,Bourgogne-Franche-Comté,Doubs,2,Médecin,La République en Marche,LaREM,Oui
720362,Belkhir,Belhaddad,Grand Est,Moselle,1,Industriel-Chef d'entreprise,La République en Marche,LaREM,Oui
607395,Stéphane,Travert,Normandie,Manche,3,Cadre commercial,La République en Marche,LaREM,Oui
720014,Huguette,Tiegna,Occitanie,Lot,2,"Docteur, Ingénieur Recherche et Dévelopement",La République en Marche,LaREM,Oui
2952,Jean-Luc,Warsmann,Grand Est,Ardennes,3,Sans profession,UDI et Indépendants,UDI-I,Oui
